Artist,Song,Wave,Year,Lyrics,Original Lyrics,,
Lesley Gore,You Don't Own Me,2,1963,"[Verse 1]
You don't own me
I'm not just one of your many toys
You don't own me
Don't say I can't go with other boys

[Chorus]
And don't tell me what to do
Don't tell me what to say
And please, when I go out with you
Don't put me on display 'cause

[Verse 2]
You don't own me
Don't try to change me in any way
You don't own me
Don't tie me down 'cause I'd never stay

[Chorus]
I don't tell you what to say
I don't tell you what to do
So just let me be myself
That's all I ask of you

[Bridge]
I'm young and I love to be young
I'm free and I love to be free
To live my life the way I want
To say and do whatever I please
 [Chorus]
And don't tell me what to do
Oh, don't tell me what to say
And please, when I go out with you
Don't put me on display
I don't tell you what to say
Oh, don't tell you what to do
So just let me be myself
That's all I ask of you

[Outro]
I'm young and I love to be young
I'm free and I love to be",,,
Helen Reddy,I Am Woman,2,1972,"[Verse 1]
I am woman, hear me roar
In numbers too big to ignore
And I know too much to go back an' pretend
'Cause I've heard it all before
And I've been down there on the floor
No one's ever gonna keep me down again

[Chorus]
Oh yes, I am wise
But it's wisdom born of pain
Yes, I've paid the price
But look how much I gained
If I have to, I can do anything
I am strong
(Strong)
I am invincible
(Invincible)
I am woman

[Verse 2]
You can bend but never break me
'Cause it only serves to make me
More determined to achieve my final goal
And I come back even stronger
Not a novice any longer
'Cause you've deepened the conviction in my soul
 [Chorus]
Oh yes, I am wise
But it's wisdom born of pain
Yes, I've paid the price
But look how much I gained
If I have to, I can do anything
I am strong
(Strong)
I am invincible
(Invincible)
I am woman

[Verse 3]
I am woman watch me grow
See me standing toe to toe
As I spread my lovin' arms across the land
But I'm still an embryo
With a long, long way to go
Until I make my brother understand

[Chorus]
Oh yes, I am wise
But it's wisdom born of pain
Yes, I've paid the price
But look how much I gained
If I have to, I can face anything
I am strong
(Strong)
I am invincible
(Invincible)
I am woman
[Outro]
I am woman
I am invincible
I am strong
I am woman
I am invincible
I am strong
I am woman",,,
Christina Aguilera and Lil' Kim,Can't Hold Us Down,3,2002,"Lyrics[Intro: Christina Aguilera]
Mm

[Verse 1: Christina Aguilera]
So, what, am I not 'sposed to have an opinion?
Should I keep quiet just because I'm a woman?
Call me a bitch 'cause I speak what's on my mind
Guess it's easier for you to swallow if I sat and smiled
When a female fires back
Suddenly big talker don't know how to act
So he does what any little boy would do
Makin' up a few false rumors or two
That for sure is not a man to me
Slanderin' names for popularity
It's sad you only get your fame through controversy (It's so sad)
But now it's time for me to come and give you more to say

[Chorus: Christina Aguilera]
This is for my girls all around the world (Around the world)
Who've come across a man that don't respect your worth (Whoa)
Thinkin' all women should be seen not heard (Whoa)
So what do we do girls? Shout louder!
Lettin' 'em know we're gonna stand our ground (Stand our ground)
Lift your hands high and wave 'em proud (Whoa)
Take a deep breath and say it loud (Whoa)
Never can, never will, can't hold us down
 [Post-Chorus: Christina Aguilera]
Nobody can hold us down (Hold us down)
Nobody can hold us down (Hold us down)
Nobody gonna hold us down (Hold us down)
Never can, never will

[Verse 2: Christina Aguilera]
So, what, am I not 'sposed to say what I'm sayin'?
Are you offended with the message I'm bringin'?
Call me whatever 'cause your words don't mean a thing
Guess you ain't even a man enough to handle what I sing
If you look back in history
It's a common double standard of society
The guy gets all the glory, the more he can score
While the girl can do the same and yet you call her a whore
I don't understand why it's okay
The guy can get away with it, the girl gets named
All my ladies come together and make a change
And start a new beginning for us, everybody sing

[Chorus: Christina Aguilera & Lil' Kim]
This is for my girls all around the world (Around the world) (Yeah)
Who've come across a man that don't respect your worth (Respect your worth)
Thinkin' all women should be seen not heard
(You can't get rid of us)
So what do we do girls? Shout louder!
Lettin' 'em know we're gonna stand our ground
(We standin' our ground on this one)
Lift your hands high and wave 'em proud (Whoa)
Take a deep breath and say it loud
Never can, never will, can't hold us down (Check it)
[Verse 3: Lil' Kim]
Here's something I just can't understand
If a guy have three girls then he's the man
He can even give her some head, then sex her raw
If a girl do the same, then she's a whore
But the tables 'bout to turn, I bet my fame on it
Cats take my ideas and put they name on it
It's alright though, you can't hold me down
I got to keep on movin'
To all my girls with a man who be tryna mack
Do it right back to him and let that be that
You need to let him know that his game is whack
And Lil' Kim and Christina Aguilera got your back

[Bridge: Christina Aguilera]
You're just a little boy, you think you're so cute, so coy
You must talk so big, to make up for smaller things
Said you're just a little boy, all you do is annoy
You must talk so big, to make up for smaller things
This is for my girls!

[Chorus: Christina Aguilera]
This is for my girls all around the world, oh
Who've come across a man that don't respect your worth
(Respect your worth, oh)
Thinkin' all women should be seen not heard
So what do we do girls? Shout louder! (Shout louder!)
Lettin' 'em know we're gonna stand our ground (Stand our ground)
Lift your hands high and wave 'em proud (Whoa)
Take a deep breath and say it loud
Never can, never will, can't hold us down (Whoa)
This is for my girls all around the world (All my girls)
Who've come across a man that don't respect your worth (Around the world)
Thinkin' all women should be seen not heard (Yeah)
So what do we do girls? Shout louder!
Lettin' 'em know we're gonna stand our ground (Stand our ground)
Lift your hands high and wave 'em proud (Whoa)
Take a deep breath and say it loud
Never can, never will, can't hold us down
[Breakdown: Christina Aguilera & Lil' Kim]
(Uh, oh-oh, uh, uh, uh, uh, uh, uh, uh)
Spread the word (Can't hold us down)
Yeah, we here, we back again, yeah
Lil' Kim and Christina Aguilera
Yeah (Can't hold us down, uh, uh)",,,
Dolly Parton,9 to 5,2,1980,"[Verse 1]
Tumble out of bed and I stumble to the kitchen
Pour myself a cup of ambition
And yawn and stretch and try to come to life
Jump in the shower and the blood starts pumpin'
Out on the street, the traffic starts jumpin'
With folks like me on the job from nine to five

[Chorus]
Workin' nine to five, what a way to make a livin'
Barely gettin' by, it's all takin' and no givin'
They just use your mind and they never give you credit
It's enough to drive you crazy if you let it
Nine to five, for service and devotion
You would think that I would deserve a fair promotion
Want to move ahead but the boss won't seem to let me
I swear sometimes that man is out to get me
Mmmm

[Verse 2]
They let you dream just to watch 'em shatter
You're just a step on the bossman's ladder
But you've got dreams he'll never take away
In the same boat with a lot of your friends
Waitin' for the day your ship'll come in
And the tide's gonna turn an' it's all gonna roll your way
 [Chorus]
Working nine to five, what a way to make a livin'
Barely gettin' by, it's all takin' and no givin'
They just use your mind and you never get the credit
It's enough to drive you crazy if you let it
Nine to five, yeah, they got you where they want you
There's a better life and you think about it don't you
It's a rich man's game no matter what they call it
And you spend your life puttin' money in his wallet
Nine to five, what a way to make a livin'
Barely gettin' by, it's all takin' and no givin'
They just use your mind and they never give you credit
It's enough to drive you crazy if you let it
Nine to five, yeah, they got you where they want you
There's a better life and you think about it don't you
It's a rich man's game no matter what they call it
And you spend your life puttin' money in his wallet",,,
Cyndi Lauper,Girls Just Wanna Have Fun,2,1983,"I come home in the morning light
My mother says when you gonna live your life right
Oh mother dear we're not the fortunate ones
And girls they wanna have fun
Oh girls just want to have fun

The phone rings in the middle of the night
My father yells what you gonna do with your life
Oh daddy dear you know you're still number one
But girls they wanna have fun
Oh girls just want to have

That's all they really want
Some fun
When the working day is done
Oh girls, they wanna have fun
Oh girls just wantna have fun (girls and boys wanna have fun, girls wanna have)

Some boys take a beautiful girl
And hide her away from the rest of the world
I want to be the one to walk in the sun
Oh girls they wanna have fun
Oh girls just wanna have

That's all they really want
Some fun
When the working day is done
Oh girls, they wanna have fun
Oh girls just want to have fun (girls and boys wanna have fun, girls wanna have)
They just wanna, they just wanna
They just wanna, they just wanna, oh girl
Girls they wanna have fun
They just wanna, they just wanna
They just wanna, they just wanna, girls
They just wanna, they just wanna, oh girls
Girls just want to have fun
 When the working
When the working day is done
Oh when the working day is done oh girl
Girls, they wanna have fun

They just wanna, they just wanna
They just wanna, they just wanna, oh girls
Girls just want to have fun

(They just wanna, they just wanna)
When the working
When the working day is done
Oh when the working day is done oh girl
Girls, they wanna have fun",,,
The Mamas and Papas,Go Where You Wanna Go,2,1966,"[Chorus]
(You gotta go) Go where you wanna go
(And do) Do what you wanna do
(Wanna do with) With whoever you wanna do it with
(You want, hey, you gotta go) Go where you wanna go
(And do) Do what you wanna do
(Wanna do with) With whoever (You) you wanna do it with (Wanna do it with)

[Verse 1]
You don't understand
That a girl like me can love just one man
Three thousand miles, that's how far you'll go
And you said to me
""Please don't follow""

[Chorus]
(You gotta go) Go where you wanna go
(And do) Do what you wanna do
(Wanna do with) With whoever you wanna do it with
(You want, hey, you gotta go) Go where you wanna go
(And do) Do what you wanna do
(Wanna do with) With whoever you wanna do it with (You wanna do it with)

[Verse 2]
You don't understand
That a girl like me can love just one man
You've been gone a week and I tried so hard
Not to be the cryin' kind
Not to be the girl you left behind (Left behind)
 [Chorus]
(You gotta go) Go where you wanna go
(And do) Do what you wanna do
(Wanna do with) With whoever you wanna do it with
(You want, hey, you gotta go) Go where you want
(And do) Do what you want
(Wanna do with) Go where you want
(Wanna do) Do what you want
(You want, hey, you gotta go) Go where you want
(And do) Do what you want
(Wanna do with) Go where you want
(Wanna do) Do what you want
(You want, hey, you gotta go) Go",,,
Sophie Tucker,I Ain't Taking Orders From No One,1,1927,NODATA ,,,
Yoko Ono,"Sisters, O Sisters",2,1972,"[Intro]
We lost our green land
We lost our clean air
We lost our true wisdom
And we live in despair

[Verse 1]
Oh, sisters, oh, sisters, let's stand up right now
It's never too late to start from the start
Oh, wisdom, oh, wisdom, that's what we ask for
And, yes, my dear sisters, we must learn to ask

[Chorus]
Wisdom, oh, wisdom, that's what we ask for
That's what we live for now
Oh, wisdom, oh, wisdom, that's what we ask for
That's what we live for now

[Verse 2]
Sisters, oh, sisters, let's wake up right on
It's never too late to shout from our hearts
Oh, freedom, oh, freedom, that's what we fight for
And, yes, my dear sisters, we must learn to fight

[Chorus]
Freedom, oh, freedom, that's what we ask for
That's what we live for now
Freedom, oh, freedom, that's what we ask for
That's what we live for now
 [Instrumental Break]

[Verse 3]
Oh, sisters, oh, sisters, let's give up no more
It's never too late to build a new world
Oh, new world, oh, new world, that's what we live for
And, yes, my dear sisters, we must learn to live

[Chorus]
New world, oh, new world, that's what we live for
That's what we all must all learn to build
Oh, new world, oh, new world, that's what we live for
That's what we must now learn to build
New world, oh, new world, that's what we live for
That's what we must now learn to be
Oh, new world, oh, new world, that's what we live for
That's what we all must learn to be",,,
Beyonce,Flawless ,3,2013,"[Intro: Star Search excerpt]
Your challengers are a young group from Houston
Welcome Beyoncé, Lativia, Nina, Nicky, Kelly, and Ashley
The hip-hop-rappin' Girls' TYME!
Part I: ""Bow Down""

[Chorus]
I'm out that H-Town, comin', comin' down
I'm comin' down, drippin' candy on the ground
H-H-Town-Town, I'm comin' down
Comin' down, drippin' candy on the ground

[Verse 1: Beyoncé & JAY-Z]
I know when you were little girls
You dreamt of being in my world
Don't forget it, don't forget it
Respect that, bow down, bitches (Crown)
I took some time to live my life
But don't think I'm just his little wife
Don't get it twisted, get it twisted
This my shit, bow down, bitches
[Bridge: Beyoncé & JAY-Z]
Bow down, bitches, bow, bow down, bitches (Crown)
Bow down, bitches, bow, bow down, bitches (Crown)
H-Town vicious, H-H-Town vicious
I'm so crown-crown, bow down, bitches
 [Chorus]
I'm out that H-Town, comin', comin' down
I'm comin' down, drippin' candy on the ground
H-H-Town-Town, I'm comin' down
Comin' down, drippin' candy on the ground
Part II: ***Flawless
[Intro: Chimamanda Ngozi Adichie & Beyoncé]
We teach girls to shrink themselves, to make themselves smaller
We say to girls: ""You can have ambition, but not too much
You should aim to be successful, but not too successful
Otherwise, you will threaten the man""
Because I am female, I am expected to aspire to marriage
I am expected to make my life choices always keeping in mind that marriage is the most important (C-Candy on the ground)
Now, marriage can be a source of joy and love and mutual support (Dum-da-dee-da)
But why do we teach girls to aspire to marriage and we don't teach boys the same? (Do-da-da, do-do, do-do-do-da)
We raise girls to see each other as competitors
Not for jobs or for accomplishments, which I think can be a good thing (Com-com-comin' down, drippin' candy on the ground)
But for the attention of men
We teach girls that they cannot be sexual beings in the way that boys are (Dum-da-de-da)
Feminist: A person who believes in the social, political, and economic equality of the sexes (Do-da-da, do-do, do-do-do-da)
[Chorus: Beyoncé]
You wake up (Flawless), post up (Flawless)
Riding 'round in it (Flawless), flossin' on that (Flawless)
This diamond (Flawless), my diamond (Flawless)
This rock (Flawless), my Roc (Flawless)
I woke up like this, I woke up like this
We flawless, ladies, tell 'em
I woke up like this, I woke up like this
We flawless, ladies, tell 'em
Say, ""I look so good tonight""
Goddamn, goddamn
Say, ""I look so good tonight""
Goddamn, goddamn, goddamn
[Bridge: Beyoncé]
My mama taught me good home-trainin'
My daddy taught me how to love my haters
My sister told me I should speak my mind
My man make me feel so goddamn fine, I'm flawless
[Chorus: Beyonce]
You wake up (Flawless), post up (Flawless)
Riding 'round in it (Flawless), flossin' on that (Flawless)
This diamond (Flawless), my diamond (Flawless)
This rock (Flawless), my Roc (Flawless)
I woke up like this, I woke up like this
We flawless, ladies, tell 'em
I woke up like this, I woke up like this
We flawless, ladies, tell 'em
Say, ""I look so good tonight"" (Right, right, right, right)
Goddamn, goddamn
Say, ""I look so good tonight"" (Right, right, right, right)
Goddamn, goddamn, goddamn

[Outro: Star Search excerpt]
The judges give champion Skeleton Crew 4 stars, a perfect score
The challenger, Girls' TYME, receives... 3 stars
Skeleton Crew, champions once again
Congratulations, we'll see you next week",,,
Beyonce,Pretty Hurts,3,2013,"[Intro: Harvey Keitel & Beyoncé]
Ms. Third Ward, your first question:
What is your aspiration in life?
Oh, well, my aspiration in life would be
To be happy

[Verse 1]
Mama said, ""You're a pretty girl
What's in your head, it doesn't matter
Brush your hair, fix your teeth
What you wear is all that matters""
[Pre-Chorus]
Just another stage
Pageant the pain away
This time, I'm gonna take the crown
Without fallin' down, down, down

[Chorus]
Pretty hurts
We shine the light on whatever's worst
Perfection is a disease of a nation (Pretty hurts, pretty hurts)
Pretty hurts
We shine the light on whatever's worst
We try to fix something
But you can't fix what you can't see
It's the soul that needs a surgery
 [Verse 2]
Blonder hair, flat chest
TV says bigger is better
South Beach, sugar-free
Vogue says thinner is better
[Pre-Chorus]
Just another stage
Pageant the pain away
This time, I'm gonna take the crown
Without fallin' down, down, down

[Chorus]
Pretty hurts
We shine the light on whatever's worst
Perfection is a disease of a nation (Pretty hurts, pretty hurts)
(Pretty hurts)
Pretty hurts (Pretty hurts)
We shine the light on whatever's worst
We try to fix something
But you can't fix what you can't see
It's the soul that needs the surgery

[Bridge]
Ain't got no doctor or pill that can take the pain away
The pain's inside and nobody frees you from your body
It's the soul, it's my soul that needs surgery
(It's my soul that needs surgery)
Plastic smiles and denial can only take you so far
Then you break when the fake façade leaves you in the dark
You're left with shattered mirrors and the shards of a beautiful past
[Chorus]
Pretty hurts
We shine the light on whatever's worst (Pretty hurts)
Perfection is a disease of a nation (Pretty hurts)
Pretty hurts (Pretty hurts)
We shine the light on whatever's worst
Tryna fix something (Pretty hurts)
But you can't fix what you can't see
It's the soul that needs a surgery

[Outro]
When you're alone all by yourself (Pretty hurts, pretty hurts)
And you're lyin' in your bed (Pretty hurts, pretty hurts)
Reflection stares right into you (Pretty hurts, pretty hurts)
Are you happy with yourself? (Pretty hurts, pretty hurts)
You stripped away the masquerade (Pretty hurts, pretty hurts)
The illusion has been shed (Pretty hurts, pretty hurts)
Are you happy with yourself? (Pretty hurts, pretty hurts)
Are you happy with yourself? (Pretty hurts, pretty hurts)
Yeah, yes (Ah, ah, ah)",,,
